City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,salinas,36.6777,-121.6555,29.19,59,0,4.12,US,1690137288
111,papao,-17.75,-149.55,23.82,72,33,4.22,PF,1690137097
112,edinburgh of the seven seas,-37.0676,-12.3116,13.67,79,36,10.87,SH,1690137043
113,lebu,-37.6167,-73.65,10.24,79,100,3.56,CL,1690137044
114,jardim,-21.4803,-56.1381,31.58,26,0,2.81,BR,1690137446
115,sweetwater,25.7634,-80.3731,38.34,55,20,4.12,US,1690137446
116,aasiaat,68.7098,-52.8699,3.63,97,100,2.81,GL,1690137067
117,taichung,24.1469,120.6839,28.05,83,40,1.03,TW,1690137446
118,longyearbyen,78.2186,15.6401,10.91,71,40,5.66,SJ,1690137051
119,alice springs,-23.7,133.8833,2.75,81,0,3.09,AU,1690137101
120,xuddur,4.1213,43.8894,25.98,58,100,7.06,SO,1690137447
121,badger,64.8,-147.5333,25.07,60,0,0.0,US,1690137083
122,anadyr,64.75,177.4833,12.28,93,100,1.0,RU,1690137050
123,barabai,-2.5833,115.3833,22.95,92,46,0.95,ID,1690137447
124,fort bragg,35.139,-79.006,33.84,51,40,3.09,US,1690137060
125,kiunga,-6.1219,141.2906,21.53,99,100,0.65,PG,1690137118
126,polyarnyy,69.1989,33.4478,9.1,86,100,6.27,RU,1690137447
127,lugazi,0.3772,32.9197,18.94,74,39,0.99,UG,1690137447
128,maydanshakhr,34.3956,68.8662,21.83,59,100,0.42,AF,1690137447
129,west island,-12.1568,96.8225,24.99,83,90,7.2,CC,1690137074
130,cadale,2.7603,46.3222,25.37,82,100,8.41,SO,1690137448
131,nogliki,51.8333,143.1667,16.21,93,87,4.28,RU,1690137448
132,balikpapan,-1.2675,116.8289,27.55,83,20,2.57,ID,1690137250
133,yekaterinoslavka,50.3734,129.1139,17.99,97,100,5.65,RU,1690137448
134,kununurra,-15.7667,128.7333,11.99,50,55,0.0,AU,1690137082
135,east london,-33.0153,27.9116,13.52,82,0,5.14,ZA,1690137057
136,vorkuta,67.5,64.0,14.63,98,100,2.62,RU,1690137103
137,ilulissat,69.2167,-51.1,10.01,76,75,2.06,GL,1690137045
